"","Datum","Feiertag"
"1",2013-01-01,"1"
"2",2013-03-29,"1"
"3",2013-04-01,"1"
"4",2013-05-01,"1"
"5",2013-05-09,"1"
"6",2013-05-20,"1"
"7",2013-10-03,"1"
"8",2013-12-25,"1"
"9",2013-12-26,"1"
"10",2014-01-01,"1"
"11",2014-04-18,"1"
"12",2014-04-21,"1"
"13",2014-05-01,"1"
"14",2014-05-29,"1"
"15",2014-06-09,"1"
"16",2014-10-03,"1"
"17",2014-12-25,"1"
"18",2014-12-26,"1"
"19",2015-01-01,"1"
"20",2015-04-03,"1"
"21",2015-04-06,"1"
"22",2015-05-01,"1"
"23",2015-05-14,"1"
"24",2015-05-25,"1"
"25",2015-10-03,"1"
"26",2015-12-25,"1"
"27",2015-12-26,"1"
"28",2016-01-01,"1"
"29",2016-03-25,"1"
"30",2016-03-28,"1"
"31",2016-05-01,"1"
"32",2016-05-05,"1"
"33",2016-05-16,"1"
"34",2016-10-03,"1"
"35",2016-12-25,"1"
"36",2016-12-26,"1"
"37",2017-01-01,"1"
"38",2017-04-14,"1"
"39",2017-04-17,"1"
"40",2017-05-01,"1"
"41",2017-05-25,"1"
"42",2017-06-05,"1"
"43",2017-10-03,"1"
"44",2017-10-31,"1"
"45",2017-12-25,"1"
"46",2017-12-26,"1"
"47",2018-01-01,"1"
"48",2018-03-30,"1"
"49",2018-04-02,"1"
"50",2018-05-01,"1"
"51",2018-05-10,"1"
"52",2018-05-21,"1"
"53",2018-10-03,"1"
"54",2018-10-31,"1"
"55",2018-12-25,"1"
"56",2018-12-26,"1"
"57",2019-01-01,"1"
"58",2019-04-19,"1"
"59",2019-04-22,"1"
"60",2019-05-01,"1"
"61",2019-05-30,"1"
"62",2019-06-10,"1"
"63",2019-10-03,"1"
"64",2019-10-31,"1"
"65",2019-12-25,"1"
"66",2019-12-26,"1"
